Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),71.95,81.25,77.73
Gasoline (RON95),67.65,78.21,75.72
Gasoline (RON91),66.49,81.55,74.77
Diesel,73.3,81.41,79.76
Diesel Plus,77.45,86.0,81.35
Kerosene,79.34,89.95,#N/A
