Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),59.85,74.09,72.9
Gasoline (RON95),55.15,71.76,65.64
Gasoline (RON91),54.15,70.76,65.63
Diesel,48.95,59.27,56.87
Diesel Plus,54.55,62.95,59.2
Kerosene,58.63,67.84,62.55
