Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),69.4,77.7,79.5
Gasoline (RON95),69.4,77.7,79.5
Gasoline (RON91),66.1,76.1,74.02
Diesel,65.1,75.1,72.74
Diesel Plus,71.0,82.05,81.31
Kerosene,80.45,85.45,84.6
