Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),75.45,87.44,86.35
Gasoline (RON95),73.0,83.71,79.33
Gasoline (RON91),71.7,82.96,78.27
Diesel,68.75,78.85,75.2
Diesel Plus,73.15,81.9,78.1
Kerosene,77.64,85.37,85.25
