Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),62.75,76.99,75.8
Gasoline (RON95),57.55,74.35,65.95
Gasoline (RON91),57.05,72.35,65.1
Diesel,52.45,61.75,57.35
Diesel Plus,57.35,65.45,59.4
Kerosene,60.48,69.69,67.95
