Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),79.75,93.35,87.32
Gasoline (RON95),76.95,89.35,85.29
Gasoline (RON91),75.95,88.6,83.92
Diesel,81.55,91.6,89.02
Diesel Plus,86.05,95.85,92.02
Kerosene,89.64,99.04,97.25
