Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),54.55,63.35,63.85
Gasoline (RON95),54.55,63.35,#N/A
Gasoline (RON91),50.9,64.5,60.29
Diesel,2.68,63.5,60.06
Diesel Plus,41.9,50.3,48.55
Kerosene,48.6,52.21,50.7
