Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),48.45,56.23,55.43
Gasoline (RON95),48.45,56.23,56.94
Gasoline (RON91),40.7,54.6,51.88
Diesel,40.2,53.75,51.16
Diesel Plus,33.85,40.96,40.21
Kerosene,36.9,43.8,41.66
