Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),49.65,62.02,57.43
Gasoline (RON95),41.2,60.02,53.74
Gasoline (RON91),40.7,59.65,53.6
Diesel,34.6,49.69,41.35
Diesel Plus,39.0,47.9,45.59
Kerosene,44.14,53.89,#N/A
