Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),51.65,65.8,60.64
Gasoline (RON95),46.6,66.45,56.17
Gasoline (RON91),45.8,63.05,55.39
Diesel,36.6,47.22,43.35
Diesel Plus,42.0,49.52,47.99
Kerosene,46.35,55.29,#N/A
