Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),58.5,75.05,#N/A
Gasoline (RON95),54.9,73.04,65.43
Gasoline (RON91),53.9,71.98,65.32
Diesel,45.6,55.77,51.34
Diesel Plus,50.25,58.93,56.74
Kerosene,53.84,63.59,#N/A
