Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),52.05,64.1,59.83
Gasoline (RON95),44.15,62.35,52.84
Gasoline (RON91),43.15,62.05,54.08
Diesel,36.5,51.74,42.59
Diesel Plus,40.8,49.84,47.89
Kerosene,45.84,55.59,#N/A
