Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),44.25,57.51,53.72
Gasoline (RON95),37.2,54.76,50.18
Gasoline (RON91),35.7,55.51,49.56
Diesel,29.6,42.27,36.96
Diesel Plus,34.0,41.55,40.39
Kerosene,38.79,51.35,#N/A
