Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),53.1,64.15,67.78
Gasoline (RON95),53.1,64.15,#N/A
Gasoline (RON91),49.2,63.25,58.11
Diesel,48.45,62.2,57.74
Diesel Plus,42.15,50.3,47.41
Kerosene,44.75,51.79,51.77
