Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),53.85,70.4,#N/A
Gasoline (RON95),50.9,66.1,59.74
Gasoline (RON91),49.9,64.85,59.51
Diesel,42.0,52.07,48.58
Diesel Plus,48.05,55.23,53.04
Kerosene,50.33,59.54,57.95
