Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),57.55,73.83,#N/A
Gasoline (RON95),53.75,71.89,64.28
Gasoline (RON91),52.6,70.83,64.62
Diesel,45.65,56.12,52.61
Diesel Plus,50.25,59.17,57.09
Kerosene,53.17,63.89,#N/A
