Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),51.05,66.78,#N/A
Gasoline (RON95),47.85,64.78,57.09
Gasoline (RON91),46.85,63.78,56.01
Diesel,38.45,49.12,45.38
Diesel Plus,43.0,51.42,48.02
Kerosene,47.8,56.74,#N/A
