Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),53.05,65.1,60.83
Gasoline (RON95),44.09,63.35,56.92
Gasoline (RON91),43.59,63.05,55.08
Diesel,36.5,52.44,44.03
Diesel Plus,41.5,50.49,48.54
Kerosene,46.54,56.2,#N/A
