Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),45.35,58.61,56.07
Gasoline (RON95),38.6,54.97,50.03
Gasoline (RON91),37.2,56.61,48.38
Diesel,30.8,43.12,38.14
Diesel Plus,34.9,41.9,41.15
Kerosene,39.39,52.1,#N/A
