Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),52.05,61.04,62.56
Gasoline (RON95),52.05,61.04,61.04
Gasoline (RON91),46.6,60.2,55.01
Diesel,45.8,59.22,55.22
Diesel Plus,37.55,46.4,43.77
Kerosene,41.25,48.4,48.79
